"county","city","zip","street","price","br","lsqft","bsqft","year","date","long","lat"
"Santa Clara County","West San Jose",95129,"4582 Winding Way",845000,4,5663,1877,"1964","2006-02-19",-121.983795,37.302518
"Alameda County","Oakland",94619,"3256 Wyman Street",550000,2,3560,1185,"1929","2004-12-12",-122.189158,37.779361
"Santa Clara County","West San Jose",95117,"4090 Williams Road",661000,3,9148,1330,"1950","2005-05-15",-121.97453,37.30797
"Santa Clara County","Mountain View",94043,"127 Evandale Avenue",722000,3,3485,1755,"1997","2004-10-31",-122.061251,37.40494
"Sonoma County","Santa Rosa",95404,"2048 Cooper Drive",673500,NA,NA,NA,NA,"2006-01-29",-122.704646,38.448611
"Santa Clara County","Sunnyvale",94085,"457 Roosevelt Avenue",593000,NA,6534,2014,"1984","2005-07-03",-122.020779,37.385527
"Sonoma County","Petaluma",94954,"1909 Falcon Ridge Drive",725000,4,6477,2330,"1998","2005-05-08",-122.58827,38.24578
"Santa Clara county","Blossom Hill",95123,"5350 Apple Blossom Drive",550000,3,6098,1531,"1976","2004-07-18",NA,NA
"Sonoma County","Santa Rosa",95405,"1458 Townview Avenue",324000,2,1307,1050,"1984","2004-09-26",-122.683215,38.435092
"Santa Clara County","West San Jose",95130,"4660 Grimsby Drive",645000,3,6098,1407,"1964","2005-08-21",-121.983778,37.280172
"Santa Clara County","Sunnyvale",94086,"1279 Poplar Avenue #116",462000,2,1742,1368,"1981","2004-08-22",NA,NA
"Solano County","Vacaville",95687,"206 Colby Drive",480000,3,5000,1658,"1990","2005-12-11",-121.947505,38.359293
"Contra Costa County","Lafayette",94549,"963 Hawthorne Drive",660000,4,8610,1556,"1941","2003-05-04",-122.104211,37.888568
"Contra Costa County","Concord",94520,"2210 Leland Way",350000,4,9750,1050,"1951","2003-10-12",-122.042254,37.965117
"Alameda county","Livermore",94550,"2884 Rutherford Court",1220500,NA,NA,NA,NA,"2005-12-04",-121.764096,37.685496
"Sonoma County","Santa Rosa",95407,"3912 Match Point Avenue",415000,4,3485,2052,"1998","2003-10-05",-122.762622,38.423113
"Santa Clara County","South San Jose",95111,"920 River Park Drive",650000,4,6534,1353,"1973","2005-09-25",-121.815496,37.283635
"Contra Costa County","Pittsburg",94565,"242 Shoreline Drive",330000,3,3500,1825,"1982","2004-03-14",-121.880322,38.033397
"Alameda County","Union City",94587,"2841 Pelican Drive",620000,NA,NA,1392,"1975","2005-03-20",-122.044357,37.590023
"Alameda County","Oakland",94618,"180 Caldecott Lane #106",285000,1,NA,773,"1995","2003-06-29",NA,NA
"Santa Clara County","Evergreen",95122,"1524 Adrian Way",492000,4,5227,1352,"1966","2005-01-23",-121.828974,37.340725
"Contra Costa county","Clayton",94517,"317 Ahwanee Lane",680000,4,NA,2448,"1992","2003-06-29",-121.934004,37.952
"Alameda County","Hayward",94545,"24726 Brentwood Court",410000,3,5096,1550,"1954","2004-02-01",-122.104187,37.635582
"Sonoma County","Sebastopol",95472,"170 Jewell Avenue \#A",745000,5,10200,2134,"1920","2006-06-04",-122.827345,38.399258
"Contra Costa County","Walnut Creek",94596,"2785 Walnut Boulevard",850000,4,11660,1633,"1950","2005-09-04",-122.051639,37.902177
"Alameda County","Oakland",94609,"674 28th Street",412000,2,3500,1287,"1990","2005-01-30",-122.272187,37.818066
"San Francisco County","San Francisco",94108,"1083 Clay Street #101",730000,NA,NA,NA,NA,"2004-01-11",NA,NA
"San Mateo County","San Mateo",94403,"1364 Palos Verdes Drive",1090000,4,8910,2100,"1966","2005-10-09",-122.328519,37.530586
"Contra Costa County","Martinez",94553,"1565 Ashwood Drive",315000,2,968,602,"1976","2003-11-30",-122.09977,37.982276
"Santa Clara County","Santa Clara",95054,"4468 Billings Circle",832500,NA,NA,NA,NA,"2005-10-16",-121.960668,37.39324
"Contra Costa County","Lafayette",94549,"3918 North Peardale Drive",1149000,3,25215,3054,"2001","2004-06-27",-122.146609,37.899006
"Contra Costa County","Walnut Creek",94596,"141 Murwood Court",972000,3,21344,2185,"1955","2006-01-08",-122.04987,37.885986
"Marin County","San Rafael",94903,"63 Almond Court",268000,2,NA,1236,"2005","2006-02-12",-122.545891,38.019022
"Solano County","Suisun City",94585,"511 Lassen Avenue",221000,3,6969,1412,"1978","2003-07-06",-121.989038,38.245034
"Solano County","Vallejo",94591,"1412 Lassen Street",310000,3,4791,1176,"1954","2003-08-31",-122.226991,38.112297
"Santa Clara County","Palo Alto",94301,"1321 Byron Street",1203000,2,5227,1188,"1920","2006-02-19",-122.147318,37.443578
"Contra Costa County","Richmond",94803,"4750 Surrey Lane",733000,4,7020,2436,"1988","2005-12-04",-122.257109,37.967975
"Santa Clara County","Mountain View",94040,"2159 Stanford Avenue",8e+05,3,4356,1443,"2002","2006-04-23",-122.099788,37.401716
"Contra Costa County","Pittsburg",94565,"144 Linscheid Drive",258000,2,5000,1407,"1952","2003-09-14",-121.898604,38.003875
"Contra Costa County","Brentwood",94513,"1804 Spanish Trail Court",755000,NA,8978,NA,NA,"2005-11-20",-121.709536,37.935311
"Sonoma County","Petaluma",94954,"1653 Acapulco Court",640000,5,6300,2153,"1971","2006-01-01",-122.607224,38.245523
"Contra Costa County","Brentwood",94513,"1632 Strathaven Place",595500,NA,NA,NA,NA,"2004-10-10",-121.727768,37.948887
"San Francisco County","San Francisco",94116,"1425 Rivera Street",580000,2,2495,800,"1943","2004-05-09",-122.481578,37.746522
"Santa Clara County","Blossom Valley",95123,"6115 Shelly Court",780000,4,6970,1896,"1970","2006-02-19",NA,NA
"Santa Clara County","Saratoga",95070,"20640 Ritanna Court",1550000,4,10890,3079,"1968","2005-06-26",-122.034616,37.291887
"Napa County","Napa",94558,"721 Cottage Drive",690000,2,436,1004,"1972","2005-10-30",-122.26514,38.353314
"Santa Clara County","Berryessa",95132,"1921 Baywood Square",460000,4,1307,1452,"1974","2005-02-06",-121.847755,37.405989
"Alameda County","Union City",94587,"4412 Canterbury Way",788000,4,4624,2080,"1997","2006-05-28",-122.084742,37.596593
"Contra Costa County","Brentwood",94513,"1821 Shadowcliff Way",539000,3,5480,1715,"1998","2005-10-16",-121.731482,37.943346
"Santa Clara County","Campbell",95008,"313 North 3rd Street #4",320000,2,1742,798,"1971","2004-07-25",NA,NA
"Marin county","Tiburon",94920,"30 Cypress Hollow Drive",1035000,NA,10582,NA,NA,"2003-06-01",-122.503707,37.900756
"Contra Costa County","Discovery Bay",94514,"2455 Pinehurst Court",885000,4,9472,2947,"1990","2005-09-18",-121.593947,37.895577
"Contra Costa County","Brentwood",94513,"2745 Lacosta Drive",376500,NA,NA,NA,NA,"2003-09-14",-121.709536,37.935311
"Santa Clara County","Sunnyvale",94086,"432 South Frances Street",625000,3,9750,1904,"1920","2003-05-25",-122.032617,37.372166
"Alameda County","Newark",94560,"5252 Salisbury Drive",582500,3,6500,1871,"1967","2003-11-16",-122.033949,37.551541
"Santa Clara County","Los Altos",94022,"489 Cherry Avenue",1555000,3,10454,2366,"1967","2005-01-23",-122.11742,37.390142
"San Francisco County","San Francisco",94116,"1816 Wawona Street",723000,NA,3545,1478,"1957","2004-03-21",-122.486427,37.737034
"Napa County","Napa",94558,"1018 Woodlawn Drive",650000,4,8276,1807,"1962","2004-06-27",-122.3261,38.304158
"Solano County","Fairfield",94533,"2018 Cormorant Drive",342000,3,6098,1472,"1969","2004-11-07",-122.010622,38.26582
"Alameda county","Hayward",94544,"25134 Muir Street",499000,NA,11252,776,NA,"2005-09-11",-122.078798,37.655026
"Solano County","Fairfield",94534,"1881 Kolob Drive",549000,4,11559,2041,"1990","2005-11-13",-122.074034,38.265181
"Contra Costa County","Brentwood",94513,"4672 Roosevelt Drive",303000,3,5140,1211,"1995","2003-06-08",-121.690874,37.920076
"Solano County","Vacaville",95687,"185 Dover Way",272000,4,7405,1544,"1973","2003-08-17",-121.954302,38.349236
"Napa county","Napa",94559,"82 Julian Avenue",150000,3,6534,1072,"1963","2004-02-29",-122.27031,38.300955
"Alameda County","San Lorenzo",94580,"17041 Via Cielo",303000,3,4998,1051,"1947","2005-06-05",-122.131837,37.672876
"Santa Clara County","East San Jose",95127,"2928 Warm Springs Drive",640000,3,6534,1281,"1959","2006-04-02",-121.837443,37.370579
"Santa Clara County","Evergreen",95122,"1649 Endicott Drive",455000,4,6970,1352,"1965","2004-05-16",-121.826628,37.340321
"Contra Costa County","Brentwood",94513,"1113 Jonagold Way",574000,NA,NA,NA,NA,"2004-06-27",-121.709536,37.935311
"Santa Clara County","West San Jose",95128,"832 Corlista Drive",425000,3,5616,1044,"1955","2003-05-11",-121.91869,37.311546
"Santa Clara County","Almaden",95120,"5975 Via Madero Drive",790000,4,7841,1670,"1965","2005-07-10",NA,NA
"Santa Clara County","East San Jose",95127,"10320 Meadow Lane",420000,3,4792,992,"1951","2004-07-04",-121.815512,37.36453
"Contra Costa County","Hercules",94547,"109 Abalone Cove",825000,NA,NA,NA,NA,"2003-08-31",-122.258742,38.007489
"Contra Costa County","San Ramon",94582,"8363 Saturn Park Drive",696000,NA,NA,NA,NA,"2004-11-07",-121.952138,37.75735
"Santa Clara County","East San Jose",95127,"11340 Enchanto Vista Drive",1050000,4,18295,3013,"1947","2005-06-26",-121.820705,37.391991
"Santa Clara County","Santa Clara",95051,"1490 Oliver Place",845000,NA,NA,NA,NA,"2006-01-15",-121.984608,37.346241
"Sonoma County","Santa Rosa",95407,"3976 Louis Krohn Drive",545000,NA,NA,NA,NA,"2004-03-21",-122.764125,38.427483
"Napa County","American Canyon",94503,"204 Northampton Drive",590000,4,NA,1886,"1988","2005-09-04",-122.256117,38.164513
"San Mateo County","Belmont",94002,"11 English Court",1200000,4,16596,2530,"1989","2006-06-04",-122.273895,37.514112
"Alameda County","Dublin",94568,"7144 East Dublin Meadows Street",361500,2,NA,1007,"1992","2004-05-09",-121.914784,37.717466
"Alameda County","Oakland",94606,"540 East 10th Street",250000,3,2225,1233,NA,"2004-11-21",-122.256905,37.793848
"Solano County","Dixon",95620,"830 Green Drive",304000,3,6797,1389,"1995","2003-09-07",-121.841605,38.454025
"Contra Costa County","Richmond",94804,"5910 Santa Cruz Avenue",556000,3,5000,1617,"1940","2005-01-23",-122.309678,37.908061
"Santa Clara County","Sunnyvale",94087,"672 West Remington Drive",950000,4,6970,1755,"1959","2006-03-26",-122.040515,37.359085
"Contra Costa County","Antioch",94509,"40 Rossi Avenue",312000,3,5000,1051,"1938","2004-07-11",-121.806548,38.000369
"Santa Clara County","Evergreen",95121,"1820 Lorwick Way",565500,4,5663,1560,"1977","2004-11-07",-121.81145,37.305714
"San Mateo County","Redwood City",94065,"74 Cape Hatteras Court",720000,NA,NA,NA,NA,"2005-06-26",-122.24672,37.535844
"Santa Clara County","Evergreen",95148,"3061 Pavan Drive",540000,3,5227,1303,"1985","2004-09-05",-121.791685,37.320022
"Contra Costa County","Richmond",94801,"537 5th Street",319000,1,4200,802,"1912","2005-10-09",-122.364866,37.939173
"Alameda County","Oakland",94612,"1 Lakeside Drive \#806",397500,NA,NA,NA,NA,"2005-03-20",-122.271727,37.809427
"Contra Costa County","Concord",94521,"5525 Maine Drive",499000,5,7000,1816,"1964","2004-10-03",-121.957742732394,37.9440807540759
"Solano County","Benicia",94510,"781 Oxford Way",450000,4,12907,2649,"1988","2003-05-25",-122.175045,38.090318
"Marin County","Mill Valley",94941,"2 Una Court",889000,NA,NA,NA,NA,"2003-08-03",-122.541702,37.901527
"Marin County","Mill Valley",94941,"17 Coleridge Drive",7e+05,2,1750,1248,"1972","2006-05-14",-122.518706,37.899361
"Alameda County","Dublin",94568,"6923 Langmuir Lane",5e+05,5,6600,1610,"1964","2004-07-04",-121.922714,37.719474
"Contra Costa county","Antioch",94509,"4341 Calsite Court",437000,4,NA,1751,"1997","2004-09-19",-121.802225,37.992421
"San Mateo County","Daly City",94015,"524 Midway Avenue",540000,2,5356,1030,"1947","2004-12-12",-122.479677,37.692103
"Sonoma County","Santa Rosa",95404,"1034 Vallejo Street",402000,2,10454,1598,"1947","2003-06-01",-122.702875,38.437086
"Alameda County","Newark",94560,"6290 Joaquin Murieta Avenue #F",3e+05,2,NA,905,"1982","2004-09-05",NA,NA
"San Mateo County","Belmont",94002,"1102 Continentals Way",723500,3,2352,1860,"1974","2005-06-12",-122.302666,37.510782
"Alameda County","Emeryville",94608,"1500 Park Avenue #313",374000,NA,NA,961,NA,"2004-05-30",NA,NA
"San Francisco County","San Francisco",94114,"53 Henry Street",9e+05,NA,2874,3100,NA,"2005-04-17",-122.432289,37.766716
"Solano County","Vallejo",94591,"119 Oleander Court",525000,4,10018,2568,"1978","2005-01-09",-122.199882,38.087272
"Alameda County","Hayward",94545,"26705 Peterman Avenue",435000,3,5187,1624,"1957","2004-01-04",-122.090391,37.638697
"Marin County","Dillon Beach",94929,"536 Oceana Drive",895000,3,15960,2818,"1990","2004-01-18",-122.96563,38.259645
"Solano County","Dixon",95620,"940 Rohwer Court",405000,3,9067,1328,"1993","2004-10-10",-121.845362,38.454229
"Marin County","Corte Madera",94925,"208 Sausalito Street",689000,2,4000,964,"1944","2004-09-05",-122.522414,37.924724
"San Francisco County","San Francisco",94107,"88 Townsend Street \#404",637500,NA,NA,NA,NA,"2005-03-20",-122.38886,37.781738
"Santa Clara County","San Jose",95123,"5288 Makati Circle",325000,2,871,989,"1985","2004-06-27",-121.832462,37.244426
"Santa Clara County","Cambrian",95124,"1820 Schooldale Drive",1225000,4,7841,2284,"1973","2006-06-04",-121.917184,37.277957
"San Mateo County","Burlingame",94010,"1500 Willow Avenue #204",470000,NA,NA,NA,NA,"2004-04-04",NA,NA
"Alameda county","Oakland",94605,"2752 78th Avenue",430000,3,3724,868,"1923","2006-04-02",-122.169554,37.765703
"Solano County","Fairfield",94533,"5058 Rasmussen Way",494500,NA,NA,NA,NA,"2004-09-12",-122.037019,38.269582
"Sonoma county","Santa Rosa",95401,"109 West 8th Street",415500,2,4800,900,"1906","2005-10-02",-122.724135,38.439505
"Santa Clara County","Evergreen",95121,"3267 Brigadoon Way",380000,3,5663,910,"1971","2004-07-04",-121.804099,37.308842
"Alameda County","Fremont",94536,"36042 Cripps Place",620000,4,6928,2160,"1965","2004-10-10",-122.024729,37.562087
"Santa Clara County","Sunnyvale",94087,"531 Cashmere Court",656000,3,4356,1540,"1969","2005-09-11",-122.033795,37.347651
"Marin County","Mill Valley",94941,"43 Park Avenue",5400000,3,5200,2358,"1909","2004-02-29",-122.540465,37.902234
"Santa Clara County","Milpitas",95035,"1307 Daniel Court",348000,2,1176,1223,"1985","2003-04-27",-121.887196,37.446778
"Santa Clara county","Campbell",95008,"962 Apricot Avenue",350000,2,871,1027,"1984","2004-01-25",-121.93257,37.283332
"Contra Costa county","Danville",94506,"109 Heritage Park Drive",6e+05,3,2100,1884,"1990","2004-07-04",-121.923778,37.794451
"Santa Clara County","Gilroy",95020,"702 Gettysburg Way",390000,3,436,1663,"1985","2004-09-12",-121.574565,36.998044
"San Francisco County","San Francisco",94107,"1141 De Haro Street",8e+05,2,2500,1588,"1907","2003-11-02",-122.400689,37.755384
"Santa Clara County","Santa Clara",95050,"635 Armanini Avenue",440000,2,5663,854,"1951","2005-08-21",-121.961515,37.33839
"San Mateo County","South San Francisco",94080,"111 Cuesta Drive",721000,3,6000,1020,"1951","2005-08-28",-122.443931,37.652397
"Alameda County","Pleasanton",94566,"4429 Linda Way",550000,3,7914,1379,"1957","2003-12-07",-121.866993,37.656727
"Santa Clara County","Cambrian",95118,"1297 Branham Lane",706500,NA,6534,2258,"1964","2005-03-27",-121.884477,37.261037
"Santa Clara County","Saratoga",95070,"19943 Via Escuela Drive",2628000,6,12197,3565,"1965","2005-11-27",-122.021579,37.278233
"Alameda County","Hayward",94544,"1257 Henderson Lane",560000,3,5320,1231,"1954","2005-08-07",-122.084843,37.638827
"Santa Clara county","West San Jose",95128,"2399 Kenwood Avenue",840000,3,9148,1920,"1950","2004-09-19",-121.946837,37.332352
"Alameda county","Oakland",94601,"1214 40th Avenue",3e+05,2,5000,1131,"1909","2004-11-07",-122.218864,37.772834
"Solano County","Suisun City",94585,"803 Blackspur Drive",389500,4,6534,1764,"1986","2004-10-10",-122.003953,38.247849
"Contra Costa County","Richmond",94806,"2523 Groveview Drive",436000,3,NA,1462,"1985","2005-01-09",-122.338864,37.977241
"Santa Clara County","Evergreen",95122,"960 Summerplace Drive",275000,1,436,961,"1992","2003-06-15",-121.833593,37.329641
"Alameda County","Hayward",94541,"22801 Paseo Place",467000,NA,NA,NA,NA,"2004-08-29",-122.088837,37.674431
"Santa Clara County","Gilroy",95020,"895 Magnolia Way",625000,NA,4792,NA,NA,"2006-01-22",-121.58008,37.012048
"Marin County","Novato",94947,"17 Sylvia Circle",580000,3,9600,1276,"1960","2004-07-04",-122.601005,38.111627
"Santa Clara County","Sunnyvale",94089,"1224 Manzano Way",415000,3,6402,1000,"1958","2003-06-01",-121.987779,37.39629
"Marin County","Novato",94947,"42 Brown Drive",7e+05,3,23500,1393,"1964","2004-12-05",-122.575416,38.085668
"Santa Clara County","Sunnyvale",94089,"302 Hiddenlake Drive",445000,4,6534,1468,"1957","2003-11-23",-122.008141,37.397006
"Alameda County","San Leandro",94577,"1612 Pacific Avenue",450000,3,10200,1011,"1943","2005-02-06",-122.164978,37.718651
"Santa Clara County","Evergreen",95148,"2881 Glen Ascot Way",850000,4,7405,2113,"1985","2006-05-07",-121.791414,37.330496
"Alameda County","Oakland",94602,"2835 Nicol Avenue",450000,3,7600,1297,"1910","2004-05-09",-122.217097,37.793744
"San Francisco County","San Francisco",94133,"337 Union Street",1200000,2,1078,1439,"1907","2003-08-24",-122.40489,37.80097
"Santa Clara county","Santa Clara",95054,"4237 Marston Lane",620500,NA,NA,NA,NA,"2003-09-14",-121.949396,37.396999
"San Mateo County","South San Francisco",94080,"29 Woods Circle",1400000,5,5000,3520,"2003","2005-02-13",-122.4301,37.652857
"Contra Costa County","San Ramon",94582,"82 Rainbow Bridge Place",988500,3,7040,2401,"1986","2005-11-20",-121.941967,37.762743
"Contra Costa county","Discovery Bay",94514,"5443 Gold Creek Circle",556500,NA,NA,NA,NA,"2005-01-23",-121.620148,37.920354
"Sonoma County","Sonoma",95476,"264 West Agua Caliente Road",389000,2,NA,1230,"1985","2005-07-10",-122.458884,38.288771
"Santa Clara County","Sunnyvale",94087,"761 West Remington Drive",630000,3,5663,1613,"1963","2003-11-02",-122.044722,37.359151
"Solano County","Vallejo",94591,"149 Franklin Street",395000,3,15240,912,"1942","2006-03-05",-122.220058,38.11025
"Contra Costa county","Martinez",94553,"2426 Leslie Avenue",451500,6,6300,1082,"1972","2003-06-01",-122.11992,38.006952
"Alameda County","Pleasanton",94566,"525 Bonita Avenue",745000,3,8000,1669,"1956","2004-01-18",-121.868007,37.657635
"San Francisco County","San Francisco",94110,"199 Tiffany Avenue \#407",725000,NA,NA,NA,NA,"2005-11-06",-122.421961,37.743988
"Sonoma County","Santa Rosa",95407,"1298 Trombetta Street",353000,NA,2561,NA,NA,"2003-08-17",-122.737707,38.419682
"Solano County","Vacaville",95687,"806 Fernbrook Court",621000,3,8012,3014,"1998","2004-12-05",-121.952915,38.321605
"Contra Costa County","Brentwood",94513,"116 Kingfisher Street",378500,NA,NA,NA,NA,"2005-03-27",-121.709536,37.935311
"Solano County","Vacaville",95687,"950 Beth Page Court",325000,3,3653,1769,NA,"2003-08-10",-121.972683,38.35381
"San Francisco county","San Francisco",94116,"2678 36th Avenue",660000,NA,2374,1400,"1939","2004-01-04",-122.493558,37.737087
"Santa Clara County","Santa Clara",95054,"1031 Clyde Avenue #903",375000,2,2945,1300,"1979","2004-10-24",NA,NA
"Santa Clara County","Evergreen",95121,"2684 Loomis Drive",675000,4,5663,1618,"1967","2005-10-16",-121.829627,37.310688
"Contra Costa County","Bay Point",94565,"189 Sand Pointe Lane",386000,2,5310,1018,"1988","2004-12-19",-121.968383,38.025323
"Santa Clara County","Almaden",95120,"6347 Firefly Drive",922000,4,6534,2350,"1973","2004-12-05",NA,NA
"Alameda county","Dublin",94568,"3726 Central Parkway",595500,NA,NA,NA,NA,"2005-02-06",-121.875544,37.709259
"Contra Costa County","San Ramon",94582,"2072 Longleaf Circle",1256000,5,8381,4118,"1905","2005-11-06",-121.952138,37.75735
"Santa Clara County","Blossom Hill",95123,"902 Windsor Hills Circle",670000,4,3049,1890,"1997","2004-08-22",NA,NA
"Contra Costa County","Danville",94526,"295 Gil Blas Road",615500,3,10064,1756,"1960","2003-12-21",-121.979784,37.821005
"Contra Costa County","Orinda",94563,"16 La Plaza Drive",8e+05,3,16900,1687,"1949","2003-11-23",-122.190449,37.88581
"Contra Costa County","Martinez",94553,"2273 Minaret Drive",635000,4,7728,1695,"1969","2006-05-14",-122.081111,37.986556
"Alameda County","Hayward",94545,"25037 Copa Del Oro",261000,NA,NA,NA,NA,"2004-02-08",-122.10279,37.645028
"Contra Costa County","Pleasant Hill",94523,"224 Babette Court",480000,3,6324,1056,"1954","2004-09-12",-122.064674,37.940132
"Alameda County","Oakland",94601,"2423 East 22nd Street",520000,5,7500,1799,"1896","2006-06-04",-122.228461,37.787736
"Contra Costa County","Danville",94526,"328 Sycamore Hill Court",470000,3,2340,1673,"1974","2003-06-29",-121.978181,37.81872
"San Francisco County","San Francisco",94115,"1600 Webster Street #307",549000,NA,NA,NA,NA,"2005-03-06",NA,NA
"Santa Clara County","Campbell",95008,"573 Valley Forge Way #3",246000,NA,NA,NA,NA,"2004-01-25",NA,NA
"Solano county","Fairfield",94534,"608 Parisio Circle",610000,NA,3879,NA,NA,"2005-05-15",-122.054256,38.257763
"Contra Costa County","Antioch",94509,"2201 Jefferson Way",315000,NA,NA,NA,NA,"2004-05-23",-121.839168,37.991732
"Santa Clara County","Gilroy",95020,"1161 Lerma Lane",365000,3,4356,1120,"1987","2003-07-27",-121.601105,37.024033
"Contra Costa County","Pittsburg",94565,"1050 Mepham Drive",365000,4,4257,1996,"1989","2004-01-18",-121.903624,38.022422
"Marin County","San Rafael",94901,"1112 Mission Avenue",554000,2,802,1005,"1999","2004-05-02",-122.514843,37.972423
"San Mateo County","San Carlos",94070,"1369 Geneva Avenue",7e+05,3,4040,990,"1948","2005-03-20",-122.252528,37.494232
"San Francisco county","San Francisco",94112,"74 Lobos Street",470000,1,3123,540,"1906","2005-03-06",-122.455169,37.714927
"Contra Costa County","Hercules",94547,"157 Finch Court",439000,3,7056,1351,"1985","2004-02-22",-122.26246,37.999185
"Alameda County","Fremont",94538,"5429 Butano Park Drive",435000,3,5400,1064,"1962","2004-08-22",-121.976796704052,37.5187532911721
"San Mateo County","San Carlos",94070,"3 Pyxie Lane",650000,NA,NA,NA,NA,"2004-10-31",-122.299011,37.496181
"Contra Costa County","Concord",94520,"3505 Northwood Drive #C",239500,2,756,1090,"1971","2003-11-30",NA,NA
"Alameda County","Berkeley",94707,"911 San Benito Road",790000,3,4500,1758,"1923","2005-04-03",-122.269555,37.89209
"Alameda County","Fremont",94538,"1945 Barrymore Common #C",270000,2,NA,882,"1982","2004-02-01",NA,NA
"San Francisco County","San Francisco",94132,"158 South Lake Merced Hills",860000,3,NA,2062,"1975","2005-06-12",-122.484119,37.710853
"Solano County","Fairfield",94533,"307 Hopkins Drive",382000,4,6534,1246,"1956","2006-02-05",-122.032634,38.256538
"Solano County","Dixon",95620,"525 Schooner Ridge Drive",414000,3,6300,1571,"1997","2005-05-01",-121.827526,38.465614
"Alameda County","Oakland",94619,"3581 Monterey Boulevard",595000,2,3321,1347,"1931","2004-06-27",-122.190245,37.799099
"Contra Costa county","Discovery Bay",94514,"2535 Foghorn Way",347000,5,4800,1941,"1996","2004-01-11",-121.629881,37.892965
"Solano County","Vacaville",95687,"618 Fox Pointe Road",340000,3,7315,1542,"1989","2003-12-07",-121.967496,38.320924
"Alameda County","San Leandro",94579,"15615 Cranbrook Street",512000,3,6327,1100,"1958","2005-02-20",-122.154149,37.676773
"Contra Costa County","Walnut Creek",94595,"2308 Ptarmigan Drive \#1",555000,2,NA,1212,"1971","2005-07-03",-122.071968,37.856858
"Napa County","American Canyon",94503,"6 Renwood Place",609000,NA,NA,NA,NA,"2005-05-01",-122.241167,38.165479
"San Mateo County","Hillsborough",94010,"30 Crystal Springs Terrace",2450000,4,71002,NA,NA,"2005-05-15",-122.347733,37.548389
"Santa Clara County","Evergreen",95121,"2468 Kenoga Drive",570000,3,4792,1178,"1977","2005-03-20",-121.840189,37.311521
"Santa Clara County","Santa Clara",95051,"2875 Warburton Avenue",715000,3,6098,1534,"1956","2006-01-08",-121.979415,37.355413
"Contra Costa County","Concord",94521,"994 Rosehedge Court",1007000,NA,9104,NA,NA,"2005-05-15",-121.977272,37.9299
"Contra Costa County","Discovery Bay",94514,"5638 Arcadia Circle",537000,NA,NA,NA,NA,"2005-04-24",-121.606622,37.906386
"San Francisco County","San Francisco",94114,"71 Beaver Street",545000,1,NA,612,"1990","2004-07-04",-122.434753,37.764956
"Solano County","Vallejo",94590,"706 Daniels Avenue",246000,2,718,784,"2003","2004-12-05",-122.245719,38.105219
"San Mateo County","Hillsborough",94010,"6190 Skyline Boulevard",1298000,4,27911,2400,"1956","2004-01-11",-122.392088406335,37.5688285936647
